date,STATION,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,positive,negative,hospitalizedCurrently,death,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,Case rate per day in %,threat level
2020-04-10,USW00094119,3.36,0.0,0.0,0.0,49.0,69.0,29.0,240.0,230.0,12.1,18.1,10350,117099,642.0,476,127449,17,0,3935,301.0,4236.0,7.11,SAFE
2020-04-10,USW00024141,12.97,0.0,0.0,0.0,59.0,76.0,36.0,310.0,310.0,32.0,42.1,10350,117099,642.0,476,127449,17,0,3935,301.0,4236.0,7.11,SAFE
2020-04-10,USW00024233,6.93,0.0,0.0,0.0,55.0,64.0,44.0,210.0,210.0,16.1,19.9,10350,117099,642.0,476,127449,17,0,3935,301.0,4236.0,7.11,SAFE
2020-04-10,USW00024243,10.74,0.0,0.0,0.0,62.0,80.0,40.0,350.0,350.0,28.0,35.1,10350,117099,642.0,476,127449,17,0,3935,301.0,4236.0,7.11,SAFE
2020-04-10,USW00024157,6.93,0.0,0.0,0.0,55.0,70.0,41.0,270.0,260.0,23.9,28.0,10350,117099,642.0,476,127449,17,0,3935,301.0,4236.0,7.11,SAFE
2020-04-11,USW00024227,5.82,0.0,0.0,0.0,50.0,60.0,31.0,90.0,20.0,15.0,21.0,10504,118987,649.0,494,129491,18,0,1888,154.0,2042.0,7.54,SAFE
2020-04-11,USW00094240,5.37,0.0,0.0,0.0,49.0,61.0,37.0,230.0,70.0,18.1,25.9,10504,118987,649.0,494,129491,18,0,1888,154.0,2042.0,7.54,SAFE
2020-04-11,USW00094119,10.51,0.0,0.0,0.0,48.0,55.0,22.0,40.0,40.0,25.9,33.1,10504,118987,649.0,494,129491,18,0,1888,154.0,2042.0,7.54,SAFE
2020-04-11,USW00024141,18.34,0.0,0.0,0.0,57.0,60.0,35.0,10.0,10.0,35.1,44.1,10504,118987,649.0,494,129491,18,0,1888,154.0,2042.0,7.54,SAFE
2020-04-11,USW00024233,8.72,0.0,0.0,0.0,51.0,60.0,44.0,340.0,350.0,21.0,25.9,10504,118987,649.0,494,129491,18,0,1888,154.0,2042.0,7.54,SAFE
2020-04-11,USW00024243,9.62,0.0,0.0,0.0,59.0,67.0,43.0,310.0,310.0,21.9,28.0,10504,118987,649.0,494,129491,18,0,1888,154.0,2042.0,7.54,SAFE
2020-04-11,USW00024157,14.76,0.0,0.0,0.0,52.0,54.0,35.0,20.0,350.0,28.0,36.0,10504,118987,649.0,494,129491,18,0,1888,154.0,2042.0,7.54,SAFE
2020-04-12,USW00024227,4.25,0.0,0.0,0.0,44.0,63.0,24.0,70.0,80.0,17.0,19.9,10588,120328,642.0,509,130916,15,0,1341,84.0,1425.0,5.89,SAFE
2020-04-12,USW00094240,5.59,0.0,0.0,0.0,47.0,64.0,28.0,20.0,30.0,18.1,23.9,10588,120328,642.0,509,130916,15,0,1341,84.0,1425.0,5.89,SAFE
2020-04-12,USW00094119,4.25,0.0,0.0,0.0,35.0,49.0,21.0,70.0,60.0,16.1,27.1,10588,120328,642.0,509,130916,15,0,1341,84.0,1425.0,5.89,SAFE
2020-04-12,USW00024141,7.61,0.0,0.0,0.0,44.0,57.0,28.0,30.0,40.0,19.9,21.9,10588,120328,642.0,509,130916,15,0,1341,84.0,1425.0,5.89,SAFE
2020-04-12,USW00024233,8.5,0.0,0.0,0.0,50.0,60.0,37.0,10.0,10.0,25.1,31.1,10588,120328,642.0,509,130916,15,0,1341,84.0,1425.0,5.89,SAFE
2020-04-12,USW00024243,5.82,0.0,0.0,0.0,52.0,60.0,35.0,70.0,70.0,14.1,18.1,10588,120328,642.0,509,130916,15,0,1341,84.0,1425.0,5.89,SAFE
2020-04-12,USW00024157,5.59,0.0,0.0,0.0,38.0,46.0,29.0,20.0,350.0,15.0,18.1,10588,120328,642.0,509,130916,15,0,1341,84.0,1425.0,5.89,SAFE
2020-04-13,USW00024227,3.13,0.0,0.0,0.0,45.0,66.0,23.0,40.0,350.0,12.1,16.1,10943,124105,527.0,526,135048,17,0,3777,355.0,4132.0,8.59,SAFE
2020-04-13,USW00094240,3.8,0.0,0.0,0.0,46.0,61.0,27.0,240.0,270.0,15.0,18.1,10943,124105,527.0,526,135048,17,0,3777,355.0,4132.0,8.59,SAFE
2020-04-13,USW00094119,3.8,0.0,0.0,0.0,34.0,55.0,15.0,320.0,290.0,16.1,23.0,10943,124105,527.0,526,135048,17,0,3777,355.0,4132.0,8.59,SAFE
2020-04-13,USW00024141,8.72,0.0,0.0,0.0,47.0,64.0,29.0,340.0,300.0,18.1,23.9,10943,124105,527.0,526,135048,17,0,3777,355.0,4132.0,8.59,SAFE
2020-04-13,USW00024233,5.82,0.0,0.0,0.0,50.0,64.0,38.0,20.0,30.0,15.0,18.1,10943,124105,527.0,526,135048,17,0,3777,355.0,4132.0,8.59,SAFE
2020-04-13,USW00024243,5.59,0.0,0.0,0.0,46.0,65.0,25.0,320.0,320.0,21.0,27.1,10943,124105,527.0,526,135048,17,0,3777,355.0,4132.0,8.59,SAFE
2020-04-13,USW00024157,6.93,0.0,0.0,0.0,38.0,53.0,24.0,220.0,250.0,18.1,23.0,10943,124105,527.0,526,135048,17,0,3777,355.0,4132.0,8.59,SAFE
2020-04-14,USW00024227,7.16,0.0,0.0,0.0,51.0,65.0,33.0,250.0,210.0,16.1,21.0,11234,128037,387.0,542,139271,16,0,3932,291.0,4223.0,6.89,SAFE
2020-04-14,USW00094240,3.36,0.0,0.0,0.0,46.0,55.0,36.0,260.0,220.0,14.1,17.0,11234,128037,387.0,542,139271,16,0,3932,291.0,4223.0,6.89,SAFE
2020-04-14,USW00094119,5.82,0.0,0.0,0.0,45.0,58.0,38.0,260.0,280.0,16.1,21.9,11234,128037,387.0,542,139271,16,0,3932,291.0,4223.0,6.89,SAFE
2020-04-14,USW00024141,11.41,0.0,0.0,0.0,55.0,71.0,45.0,320.0,320.0,25.1,32.0,11234,128037,387.0,542,139271,16,0,3932,291.0,4223.0,6.89,SAFE
