,Countries,Wind_Speed,Temperature,Threat_Level,Safe(%),Moderate(%),Risk(%)
103,Namibia,1.6,38.1,Safe,62.31,12.5,25.2
104,Nauru Island,9.2,82.9,Safe,99.07,0.38,0.55
105,Nepal,4.3,73.4,Safe,98.74,0.51,0.75
106,Netherlands,2.7,60.1,Safe,96.61,1.27,2.12
107,Nicaragua,5.4,76.5,Safe,98.9,0.44,0.65
108,Niger,3.8,80.6,Safe,99.06,0.38,0.56
109,Nigeria,6.9,77.0,Safe,98.91,0.44,0.65
110,Norway,3.8,66.2,Safe,98.01,0.79,1.2
111,Oman,4.3,102.2,Safe,99.38,0.25,0.37
112,Pakistan,6.5,100.8,Safe,99.38,0.25,0.37
113,Mexico,12.3,77.7,Safe,88.74,5.1,6.15
114,Panama,0.0,80.6,Safe,99.03,0.39,0.57
115,Paraguay,0.0,59.0,Safe,96.36,1.36,2.28
116,Peru,5.8,60.1,Safe,95.91,1.53,2.57
117,Philippines,3.8,82.4,Safe,99.11,0.36,0.53
118,Poland,0.0,60.8,Safe,96.94,1.17,1.89
119,Portugal,2.5,60.8,Safe,96.86,1.19,1.95
120,Qatar,15.0,107.6,Safe,99.22,0.32,0.46
121,Romania,4.3,69.8,Safe,98.45,0.62,0.93
122,Russia,13.6,68.0,Safe,67.28,15.96,16.76
123,Rwanda,0.0,68.0,Safe,98.25,0.7,1.05
124,Samoa,9.4,78.8,Safe,98.85,0.47,0.68
125,Senegal,11.9,77.0,Safe,92.09,3.54,4.37
126,Serbia,5.6,64.4,Safe,97.54,0.96,1.5
127,Seychelles Islands,12.5,84.2,Safe,97.27,1.18,1.55
128,Singapore,3.8,82.4,Safe,99.11,0.36,0.53
129,Slovakia,17.4,64.4,Safe,84.53,4.18,11.29
130,Slovenia,0.0,60.8,Safe,96.94,1.17,1.89
131,Somalia,18.3,79.7,Safe,76.84,10.68,12.48
132,Spain,0.0,68.0,Safe,98.25,0.7,1.05
133,Sudan,17.4,84.2,Safe,75.74,11.44,12.83
134,Suriname,5.6,80.6,Safe,99.06,0.38,0.56
135,Swaziland,6.3,41.0,Risky,27.21,26.4,46.39
136,Sweden,5.6,66.2,Safe,97.91,0.82,1.26
