date,STATION,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,positive,negative,hospitalizedCurrently,death,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,Case rate per day in %,threat level
2020-03-01,USW00024243,5.14,0.0,0.0,0.0,37.0,52.0,18.0,330.0,310.0,14.1,19.0,34,81,,8,115,3,0,58,16.0,74.0,21.62,RISKY
2020-03-02,USW00024243,8.05,0.0,0.0,0.0,45.0,63.0,30.0,280.0,290.0,25.9,33.1,65,229,,11,294,3,0,148,31.0,179.0,17.32,MODERATE
2020-03-03,USW00024243,4.92,0.0,0.0,0.0,48.0,63.0,29.0,310.0,210.0,23.0,30.0,90,427,,14,517,3,0,198,25.0,223.0,11.21,MODERATE
2020-03-04,USW00024243,8.5,0.0,0.0,0.0,50.0,59.0,35.0,280.0,290.0,25.1,33.1,128,633,,16,761,2,0,206,38.0,244.0,15.57,MODERATE
2020-03-05,USW00024243,4.25,0.0,0.0,0.0,40.0,60.0,25.0,180.0,190.0,18.1,23.9,179,944,,20,1123,4,0,311,51.0,362.0,14.09,MODERATE
2020-03-06,USW00024243,5.37,0.0,0.0,0.0,45.0,57.0,30.0,190.0,190.0,17.0,21.0,218,1379,,26,1597,6,0,435,39.0,474.0,8.23,SAFE
2020-03-07,USW00024243,4.03,0.02,0.0,0.0,47.0,53.0,27.0,220.0,220.0,19.9,25.1,256,1746,,27,2002,1,0,367,38.0,405.0,9.38,MODERATE
2020-03-08,USW00024243,4.03,0.0,0.0,0.0,36.0,52.0,19.0,250.0,150.0,10.1,13.0,317,2208,,31,2525,4,0,462,61.0,523.0,11.66,MODERATE
2020-03-09,USW00024243,5.14,0.0,0.0,0.0,36.0,54.0,21.0,250.0,250.0,12.1,13.0,378,3173,,35,3551,4,0,965,61.0,1026.0,5.95,SAFE
2020-03-10,USW00024243,2.68,0.0,0.0,0.0,36.0,60.0,23.0,280.0,250.0,8.9,8.9,488,4848,,37,5336,2,0,1675,110.0,1785.0,6.16,SAFE
2020-03-11,USW00024243,7.61,0.0,0.0,0.0,44.0,61.0,27.0,360.0,10.0,23.9,33.1,621,6976,,40,7597,3,0,2128,133.0,2261.0,5.88,SAFE
2020-03-12,USW00024243,6.04,0.0,0.0,0.0,43.0,55.0,25.0,320.0,270.0,14.1,18.1,799,10563,0.0,44,11362,4,0,3587,178.0,3765.0,4.73,SAFE
2020-03-13,USW00024243,6.71,0.18,0.0,100.0,38.0,40.0,30.0,30.0,50.0,21.9,30.0,1015,14585,0.0,47,15600,3,0,4022,216.0,4238.0,5.1,SAFE
2020-03-14,USW00024243,11.63,0.0,0.0,83.33333333333333,33.0,34.0,28.0,30.0,30.0,30.0,38.9,1171,16768,0.0,51,17939,4,0,2183,156.0,2339.0,6.67,SAFE
2020-03-15,USW00024243,10.07,0.0,0.0,66.66666666666666,32.0,41.0,25.0,10.0,360.0,21.9,29.1,1277,18353,0.0,57,19630,6,0,1585,106.0,1691.0,6.27,SAFE
2020-03-16,USW00024243,6.49,0.0,0.0,50.0,36.0,55.0,21.0,60.0,60.0,15.0,19.9,1577,22957,0.0,69,24534,12,0,4604,300.0,4904.0,6.12,SAFE
2020-03-17,USW00024243,4.7,0.0,0.0,33.33333333333333,36.0,55.0,20.0,170.0,160.0,10.1,12.1,1840,27344,0.0,78,29184,9,0,4387,263.0,4650.0,5.66,SAFE
2020-03-18,USW00024243,5.37,0.0,0.0,16.666666666666657,42.0,62.0,25.0,270.0,180.0,12.1,13.0,2129,31812,0.0,82,33941,4,0,4468,289.0,4757.0,6.08,SAFE
2020-03-19,USW00024243,5.82,0.0,0.0,0.0,44.0,64.0,26.0,140.0,120.0,12.1,14.1,2461,36040,0.0,92,38501,10,0,4228,332.0,4560.0,7.28,SAFE
2020-03-20,USW00024243,6.49,0.0,0.0,0.0,47.0,67.0,28.0,290.0,320.0,15.0,23.0,2764,39805,0.0,104,42569,12,0,3765,303.0,4068.0,7.45,SAFE
2020-03-21,USW00024243,4.7,0.0,0.0,0.0,51.0,66.0,28.0,330.0,320.0,16.1,21.0,2958,41956,0.0,111,44914,7,0,2151,194.0,2345.0,8.27,SAFE
2020-03-22,USW00024243,5.14,0.0,0.0,0.0,49.0,64.0,27.0,170.0,170.0,13.0,16.1,3141,43663,0.0,126,46804,15,0,1707,183.0,1890.0,9.68,MODERATE
2020-03-23,USW00024243,7.61,0.01,0.0,0.0,52.0,59.0,31.0,280.0,280.0,23.0,27.1,3604,48508,0.0,137,52112,11,0,4845,463.0,5308.0,8.72,SAFE
2020-03-24,USW00024243,4.92,0.02,0.0,0.0,40.0,55.0,23.0,290.0,190.0,17.0,27.1,4038,53326,0.0,146,57364,9,0,4818,434.0,5252.0,8.26,SAFE
2020-03-25,USW00024243,3.8,0.01,0.0,0.0,41.0,54.0,29.0,260.0,230.0,16.1,19.9,4477,57897,0.0,159,62374,13,0,4571,439.0,5010.0,8.76,SAFE
2020-03-26,USW00024243,7.38,0.0,0.0,0.0,39.0,58.0,21.0,290.0,300.0,21.9,31.1,4909,61944,0.0,183,66853,24,0,4047,432.0,4479.0,9.65,MODERATE
