,DATE,AWND,TAVG,COVID_POS_PER,THREAT_LEVEL
602,2020-05-07,12.3,51.0,14.0,MODERATE
615,2020-03-04,19.91,50.0,10.0,MODERATE
294,2020-05-06,5.82,39.0,13.0,MODERATE
221,2020-05-07,10.96,55.0,14.0,MODERATE
684,2020-05-12,17.67,51.0,10.0,MODERATE
17,2020-03-03,13.42,50.0,11.21,MODERATE
523,2020-05-05,6.93,41.0,13.0,MODERATE
63,2020-05-03,9.84,67.0,15.0,MODERATE
210,2020-03-31,7.38,41.0,10.1,MODERATE
175,2020-03-26,6.49,40.0,9.65,MODERATE
147,2020-05-10,10.51,45.0,11.0,MODERATE
196,2020-03-29,8.72,48.0,13.04,MODERATE
605,2020-05-10,15.66,47.0,11.0,MODERATE
212,2020-03-31,4.47,37.0,10.1,MODERATE
675,2020-05-03,10.74,62.0,15.0,MODERATE
14,2020-03-03,10.51,47.0,11.21,MODERATE
188,2020-03-27,11.18,39.0,10.34,MODERATE
305,2020-03-02,7.61,40.0,16.0,MODERATE
206,2020-03-30,13.42,49.0,11.1,MODERATE
161,2020-03-08,4.92,39.0,16.0,MODERATE
139,2020-05-02,9.4,50.0,15.0,MODERATE
465,2020-03-08,11.63,40.0,16.0,MODERATE
220,2020-04-01,8.05,41.0,9.57,MODERATE
209,2020-03-30,18.12,43.0,11.1,MODERATE
446,2020-05-05,9.4,46.0,13.0,MODERATE
49,2020-03-08,2.91,35.0,11.66,MODERATE
10,2020-03-02,7.83,43.0,17.32,MODERATE
80,2020-03-04,15.21,37.0,10.0,MODERATE
141,2020-05-04,11.63,49.0,14.0,MODERATE
217,2020-05-03,10.96,66.0,15.0,MODERATE
70,2020-05-10,15.66,50.0,11.0,MODERATE
148,2020-05-11,8.95,42.0,10.0,MODERATE
530,2020-05-12,10.51,39.0,10.0,MODERATE
521,2020-05-03,10.51,61.0,15.0,MODERATE
65,2020-05-05,10.51,54.0,13.0,MODERATE
211,2020-03-31,4.03,39.0,10.1,MODERATE
685,2020-05-13,10.51,51.0,10.0,MODERATE
29,2020-03-05,4.92,42.0,14.09,MODERATE
293,2020-05-05,8.5,40.0,13.0,MODERATE
682,2020-05-10,18.79,49.0,11.0,MODERATE
232,2020-03-05,6.93,34.0,12.0,MODERATE
217,2020-04-01,4.7,41.0,9.57,MODERATE
542,2020-03-08,8.05,39.0,16.0,MODERATE
