,Unnamed: 0,STATION,DATE,AWND,TAVG,COVID_POS_PER,THREAT_LEVEL
0,12029,USW00014750,2020-03-01,1.57,18.0,8.0,SAFE
1,12030,USW00014750,2020-03-02,3.8,31.0,16.0,MODERATE
2,12031,USW00014750,2020-03-03,4.7,46.0,6.0,SAFE
3,12032,USW00014750,2020-03-04,9.17,42.0,10.0,MODERATE
4,12033,USW00014750,2020-03-05,4.7,39.0,12.0,MODERATE
5,12034,USW00014750,2020-03-06,6.93,34.0,19.0,RISKY
6,12035,USW00014750,2020-03-07,9.62,30.0,15.0,MODERATE
7,12036,USW00014750,2020-03-08,4.92,33.0,16.0,MODERATE
8,12037,USW00014750,2020-03-09,5.59,47.0,20.0,RISKY
9,12038,USW00014750,2020-03-10,4.92,47.0,23.0,RISKY
10,12039,USW00014750,2020-03-11,6.26,38.0,28.0,RISKY
11,12040,USW00014750,2020-03-12,5.14,36.0,38.0,RISKY
12,12041,USW00014750,2020-03-13,8.05,44.0,44.0,RISKY
13,12042,USW00014750,2020-03-14,8.28,41.0,43.0,RISKY
14,12043,USW00014750,2020-03-15,9.62,34.0,44.0,RISKY
15,12044,USW00014750,2020-03-16,5.82,28.0,47.0,RISKY
16,12045,USW00014750,2020-03-17,7.61,36.0,48.0,RISKY
17,12046,USW00014750,2020-03-18,3.13,38.0,51.0,RISKY
18,12047,USW00014750,2020-03-19,4.47,40.0,55.0,RISKY
19,12048,USW00014750,2020-03-20,7.83,48.0,58.0,RISKY
20,12049,USW00014750,2020-03-21,12.97,37.0,63.0,RISKY
21,12050,USW00014750,2020-03-22,7.61,27.0,62.0,RISKY
22,12051,USW00014750,2020-03-23,6.26,29.0,63.0,RISKY
23,12052,USW00014750,2020-03-24,3.8,33.0,68.0,RISKY
24,12053,USW00014750,2020-03-25,1.79,33.0,67.0,RISKY
25,12054,USW00014750,2020-03-26,4.7,36.0,71.0,RISKY
26,12055,USW00014750,2020-03-27,8.72,49.0,70.0,RISKY
27,12056,USW00014750,2020-03-28,2.01,38.0,69.0,RISKY
28,12057,USW00014750,2020-03-29,2.68,43.0,67.0,RISKY
29,12058,USW00014750,2020-03-30,3.58,41.0,63.0,RISKY
30,12059,USW00014750,2020-03-31,4.92,40.0,60.0,RISKY
31,12060,USW00014750,2020-04-01,7.83,37.0,58.0,RISKY
32,12061,USW00014750,2020-04-02,7.16,41.0,59.0,RISKY
33,12062,USW00014750,2020-04-03,7.38,43.0,57.0,RISKY
34,12063,USW00014750,2020-04-04,3.8,50.0,56.0,RISKY
35,12064,USW00014750,2020-04-05,3.58,51.0,55.0,RISKY
36,12065,USW00014750,2020-04-06,5.82,47.0,53.0,RISKY
37,12066,USW00014750,2020-04-07,6.71,50.0,53.0,RISKY
38,12067,USW00014750,2020-04-08,4.92,50.0,55.0,RISKY
39,12068,USW00014750,2020-04-09,8.05,42.0,51.0,RISKY
40,12069,USW00014750,2020-04-10,11.41,41.0,48.0,RISKY
41,12070,USW00014750,2020-04-11,7.83,40.0,46.0,RISKY
42,12071,USW00014750,2020-04-12,5.14,41.0,42.0,RISKY
43,12072,USW00014750,2020-04-13,9.84,52.0,38.0,RISKY
44,12073,USW00014750,2020-04-14,7.38,46.0,35.0,RISKY
45,12074,USW00014750,2020-04-15,8.5,40.0,34.0,RISKY
46,12075,USW00014750,2020-04-16,9.4,36.0,33.0,RISKY
47,12076,USW00014750,2020-04-17,7.83,37.0,34.0,RISKY
48,12077,USW00014750,2020-04-18,6.04,39.0,32.0,RISKY
49,12078,USW00014750,2020-04-19,9.17,43.0,31.0,RISKY
50,12079,USW00014750,2020-04-20,6.93,43.0,30.0,RISKY
51,12080,USW00014750,2020-04-21,6.93,36.0,28.0,RISKY
52,12081,USW00014750,2020-04-22,12.08,35.0,27.0,RISKY
53,12082,USW00014750,2020-04-23,5.82,37.0,26.0,RISKY
54,12083,USW00014750,2020-04-24,3.8,46.0,23.0,RISKY
55,12084,USW00014750,2020-04-25,2.68,49.0,23.0,RISKY
56,12085,USW00014750,2020-04-26,7.83,46.0,23.0,RISKY
57,12086,USW00014750,2020-04-27,10.29,40.0,21.0,RISKY
58,12087,USW00014750,2020-04-28,7.16,46.0,19.0,RISKY
59,12088,USW00014750,2020-04-29,7.38,48.0,19.0,RISKY
60,12089,USW00014750,2020-04-30,8.05,50.0,19.0,RISKY
61,12090,USW00014750,2020-05-01,4.47,56.0,18.0,RISKY
62,12091,USW00014750,2020-05-02,5.14,54.0,15.0,MODERATE
63,12092,USW00014750,2020-05-03,7.16,63.0,15.0,MODERATE
64,12093,USW00014750,2020-05-04,8.05,52.0,14.0,MODERATE
65,12094,USW00014750,2020-05-05,9.4,46.0,13.0,MODERATE
66,12095,USW00014750,2020-05-06,3.36,45.0,13.0,MODERATE
67,12096,USW00014750,2020-05-07,7.61,51.0,14.0,MODERATE
68,12097,USW00014750,2020-05-08,9.17,45.0,12.0,MODERATE
69,12098,USW00014750,2020-05-09,12.3,35.0,11.0,MODERATE
70,12099,USW00014750,2020-05-10,8.5,43.0,11.0,MODERATE
71,12100,USW00014750,2020-05-11,3.8,45.0,10.0,MODERATE
72,12101,USW00014750,2020-05-12,8.5,43.0,10.0,MODERATE
73,12102,USW00014750,2020-05-13,7.61,35.0,10.0,MODERATE
74,12103,USW00014750,2020-05-14,5.82,49.0,9.0,MODERATE
75,12104,USW00014750,2020-05-15,8.05,62.0,8.0,SAFE
76,12105,USW00014750,2020-05-16,8.72,61.0,7.0,SAFE
