,Unnamed: 0,STATION,DATE,AWND,TAVG,COVID_POS_PER,THREAT_LEVEL
0,22831,USW00094789,2020-03-01,14.32,32.0,8.0,SAFE
1,22832,USW00094789,2020-03-02,16.11,42.0,16.0,MODERATE
2,22833,USW00094789,2020-03-03,10.51,48.0,6.0,SAFE
3,22834,USW00094789,2020-03-04,19.91,50.0,10.0,MODERATE
4,22835,USW00094789,2020-03-05,12.97,46.0,12.0,MODERATE
5,22836,USW00094789,2020-03-06,10.96,41.0,19.0,RISKY
6,22837,USW00094789,2020-03-07,19.91,40.0,15.0,MODERATE
7,22838,USW00094789,2020-03-08,12.75,43.0,16.0,MODERATE
8,22839,USW00094789,2020-03-09,11.41,50.0,20.0,RISKY
9,22840,USW00094789,2020-03-10,11.18,52.0,23.0,RISKY
10,22841,USW00094789,2020-03-11,8.5,51.0,28.0,RISKY
11,22842,USW00094789,2020-03-12,10.07,44.0,38.0,RISKY
12,22843,USW00094789,2020-03-13,18.12,53.0,44.0,RISKY
13,22844,USW00094789,2020-03-14,16.11,51.0,43.0,RISKY
14,22845,USW00094789,2020-03-15,10.74,47.0,44.0,RISKY
15,22846,USW00094789,2020-03-16,13.2,39.0,47.0,RISKY
16,22847,USW00094789,2020-03-17,9.4,44.0,48.0,RISKY
17,22848,USW00094789,2020-03-18,10.07,47.0,51.0,RISKY
18,22849,USW00094789,2020-03-19,8.72,46.0,55.0,RISKY
19,22850,USW00094789,2020-03-20,8.28,50.0,58.0,RISKY
20,22851,USW00094789,2020-03-21,15.21,54.0,63.0,RISKY
21,22852,USW00094789,2020-03-22,14.09,40.0,62.0,RISKY
22,22853,USW00094789,2020-03-23,18.79,39.0,63.0,RISKY
23,22854,USW00094789,2020-03-24,11.63,43.0,68.0,RISKY
24,22855,USW00094789,2020-03-25,14.09,44.0,67.0,RISKY
25,22856,USW00094789,2020-03-26,12.75,44.0,71.0,RISKY
26,22857,USW00094789,2020-03-27,8.72,53.0,70.0,RISKY
27,22858,USW00094789,2020-03-28,11.41,49.0,69.0,RISKY
28,22859,USW00094789,2020-03-29,11.41,48.0,67.0,RISKY
29,22860,USW00094789,2020-03-30,6.49,45.0,63.0,RISKY
30,22861,USW00094789,2020-03-31,8.05,43.0,60.0,RISKY
31,22862,USW00094789,2020-04-01,14.09,44.0,58.0,RISKY
32,22863,USW00094789,2020-04-02,23.26,49.0,59.0,RISKY
33,22864,USW00094789,2020-04-03,21.03,49.0,57.0,RISKY
34,22865,USW00094789,2020-04-04,11.41,50.0,56.0,RISKY
35,22866,USW00094789,2020-04-05,5.82,48.0,55.0,RISKY
36,22867,USW00094789,2020-04-06,8.72,53.0,53.0,RISKY
37,22868,USW00094789,2020-04-07,10.51,54.0,53.0,RISKY
38,22869,USW00094789,2020-04-08,9.62,55.0,55.0,RISKY
39,22870,USW00094789,2020-04-09,14.99,50.0,51.0,RISKY
40,22871,USW00094789,2020-04-10,23.71,45.0,48.0,RISKY
41,22872,USW00094789,2020-04-11,16.11,46.0,46.0,RISKY
42,22873,USW00094789,2020-04-12,12.75,49.0,42.0,RISKY
43,22874,USW00094789,2020-04-13,23.26,54.0,38.0,RISKY
44,22875,USW00094789,2020-04-14,14.54,54.0,35.0,RISKY
45,22876,USW00094789,2020-04-15,13.87,48.0,34.0,RISKY
46,22877,USW00094789,2020-04-16,19.69,46.0,33.0,RISKY
47,22878,USW00094789,2020-04-17,11.18,42.0,34.0,RISKY
48,22879,USW00094789,2020-04-18,10.96,44.0,32.0,RISKY
49,22880,USW00094789,2020-04-19,15.21,47.0,31.0,RISKY
50,22881,USW00094789,2020-04-20,10.29,52.0,30.0,RISKY
51,22882,USW00094789,2020-04-21,18.34,49.0,28.0,RISKY
52,22883,USW00094789,2020-04-22,18.79,44.0,27.0,RISKY
53,22884,USW00094789,2020-04-23,6.49,44.0,26.0,RISKY
54,22885,USW00094789,2020-04-24,11.41,46.0,23.0,RISKY
55,22886,USW00094789,2020-04-25,6.71,50.0,23.0,RISKY
56,22887,USW00094789,2020-04-26,12.75,49.0,23.0,RISKY
57,22888,USW00094789,2020-04-27,16.78,44.0,21.0,RISKY
58,22889,USW00094789,2020-04-28,10.29,49.0,19.0,RISKY
59,22890,USW00094789,2020-04-29,14.76,48.0,19.0,RISKY
60,22891,USW00094789,2020-04-30,23.71,52.0,19.0,RISKY
61,22892,USW00094789,2020-05-01,8.72,55.0,18.0,RISKY
62,22893,USW00094789,2020-05-02,14.32,62.0,15.0,MODERATE
63,22894,USW00094789,2020-05-03,10.74,62.0,15.0,MODERATE
64,22895,USW00094789,2020-05-04,15.66,63.0,14.0,MODERATE
65,22896,USW00094789,2020-05-05,12.53,53.0,13.0,MODERATE
66,22897,USW00094789,2020-05-06,8.72,49.0,13.0,MODERATE
67,22898,USW00094789,2020-05-07,12.75,53.0,14.0,MODERATE
68,22899,USW00094789,2020-05-08,10.51,53.0,12.0,MODERATE
69,22900,USW00094789,2020-05-09,22.15,42.0,11.0,MODERATE
70,22901,USW00094789,2020-05-10,18.79,49.0,11.0,MODERATE
71,22902,USW00094789,2020-05-11,12.97,52.0,10.0,MODERATE
72,22903,USW00094789,2020-05-12,17.67,51.0,10.0,MODERATE
73,22904,USW00094789,2020-05-13,10.51,51.0,10.0,MODERATE
74,22905,USW00094789,2020-05-14,9.62,53.0,9.0,MODERATE
75,22906,USW00094789,2020-05-15,10.29,63.0,8.0,SAFE
76,22907,USW00094789,2020-05-16,11.41,65.0,7.0,SAFE
