,Unnamed: 0,STATION,DATE,AWND,TAVG,COVID_POS_PER,THREAT_LEVEL
0,12865,USW00014768,2020-03-01,7.61,26.0,8.0,SAFE
1,12866,USW00014768,2020-03-02,14.32,44.0,16.0,MODERATE
2,12867,USW00014768,2020-03-03,8.05,45.0,6.0,SAFE
3,12868,USW00014768,2020-03-04,15.66,39.0,10.0,MODERATE
4,12869,USW00014768,2020-03-05,8.5,36.0,12.0,MODERATE
5,12870,USW00014768,2020-03-06,13.2,34.0,19.0,RISKY
6,12871,USW00014768,2020-03-07,9.4,30.0,15.0,MODERATE
7,12872,USW00014768,2020-03-08,11.63,40.0,16.0,MODERATE
8,12873,USW00014768,2020-03-09,13.42,55.0,20.0,RISKY
9,12874,USW00014768,2020-03-10,14.32,53.0,23.0,RISKY
10,12875,USW00014768,2020-03-11,6.26,33.0,28.0,RISKY
11,12876,USW00014768,2020-03-12,5.37,39.0,38.0,RISKY
12,12877,USW00014768,2020-03-13,19.01,48.0,44.0,RISKY
13,12878,USW00014768,2020-03-14,10.29,36.0,43.0,RISKY
14,12879,USW00014768,2020-03-15,8.28,33.0,44.0,RISKY
15,12880,USW00014768,2020-03-16,7.16,32.0,47.0,RISKY
16,12881,USW00014768,2020-03-17,12.75,43.0,48.0,RISKY
17,12882,USW00014768,2020-03-18,5.82,38.0,51.0,RISKY
18,12883,USW00014768,2020-03-19,5.82,44.0,55.0,RISKY
19,12884,USW00014768,2020-03-20,18.12,57.0,58.0,RISKY
20,12885,USW00014768,2020-03-21,8.28,30.0,63.0,RISKY
21,12886,USW00014768,2020-03-22,8.5,26.0,62.0,RISKY
22,12887,USW00014768,2020-03-23,8.28,35.0,63.0,RISKY
23,12888,USW00014768,2020-03-24,5.14,37.0,68.0,RISKY
24,12889,USW00014768,2020-03-25,8.28,40.0,67.0,RISKY
25,12890,USW00014768,2020-03-26,11.41,49.0,71.0,RISKY
26,12891,USW00014768,2020-03-27,5.82,43.0,70.0,RISKY
27,12892,USW00014768,2020-03-28,9.17,42.0,69.0,RISKY
28,12893,USW00014768,2020-03-29,15.21,52.0,67.0,RISKY
29,12894,USW00014768,2020-03-30,14.32,48.0,63.0,RISKY
30,12895,USW00014768,2020-03-31,8.5,41.0,60.0,RISKY
31,12896,USW00014768,2020-04-01,9.4,40.0,58.0,RISKY
32,12897,USW00014768,2020-04-02,10.51,41.0,59.0,RISKY
33,12898,USW00014768,2020-04-03,9.17,42.0,57.0,RISKY
34,12899,USW00014768,2020-04-04,2.68,45.0,56.0,RISKY
35,12900,USW00014768,2020-04-05,6.49,45.0,55.0,RISKY
36,12901,USW00014768,2020-04-06,6.04,42.0,53.0,RISKY
37,12902,USW00014768,2020-04-07,5.37,49.0,53.0,RISKY
38,12903,USW00014768,2020-04-08,6.04,46.0,55.0,RISKY
39,12904,USW00014768,2020-04-09,13.42,44.0,51.0,RISKY
40,12905,USW00014768,2020-04-10,17.9,37.0,48.0,RISKY
41,12906,USW00014768,2020-04-11,10.74,38.0,46.0,RISKY
42,12907,USW00014768,2020-04-12,8.05,46.0,42.0,RISKY
43,12908,USW00014768,2020-04-13,17.67,58.0,38.0,RISKY
44,12909,USW00014768,2020-04-14,12.97,41.0,35.0,RISKY
45,12910,USW00014768,2020-04-15,9.84,35.0,34.0,RISKY
46,12911,USW00014768,2020-04-16,11.18,31.0,33.0,RISKY
47,12912,USW00014768,2020-04-17,6.93,33.0,34.0,RISKY
48,12913,USW00014768,2020-04-18,10.07,38.0,32.0,RISKY
49,12914,USW00014768,2020-04-19,13.87,44.0,31.0,RISKY
50,12915,USW00014768,2020-04-20,6.93,38.0,30.0,RISKY
51,12916,USW00014768,2020-04-21,18.57,40.0,28.0,RISKY
52,12917,USW00014768,2020-04-22,15.21,34.0,27.0,RISKY
53,12918,USW00014768,2020-04-23,6.71,35.0,26.0,RISKY
54,12919,USW00014768,2020-04-24,8.28,42.0,23.0,RISKY
55,12920,USW00014768,2020-04-25,6.71,45.0,23.0,RISKY
56,12921,USW00014768,2020-04-26,10.96,45.0,23.0,RISKY
57,12922,USW00014768,2020-04-27,10.29,44.0,21.0,RISKY
58,12923,USW00014768,2020-04-28,6.93,45.0,19.0,RISKY
59,12924,USW00014768,2020-04-29,13.87,54.0,19.0,RISKY
60,12925,USW00014768,2020-04-30,9.4,57.0,19.0,RISKY
61,12926,USW00014768,2020-05-01,10.07,49.0,18.0,RISKY
62,12927,USW00014768,2020-05-02,7.38,53.0,15.0,MODERATE
63,12928,USW00014768,2020-05-03,10.51,61.0,15.0,MODERATE
64,12929,USW00014768,2020-05-04,11.41,49.0,14.0,MODERATE
65,12930,USW00014768,2020-05-05,6.93,41.0,13.0,MODERATE
66,12931,USW00014768,2020-05-06,6.49,44.0,13.0,MODERATE
67,12932,USW00014768,2020-05-07,11.41,45.0,14.0,MODERATE
68,12933,USW00014768,2020-05-08,10.74,38.0,12.0,MODERATE
69,12934,USW00014768,2020-05-09,13.87,34.0,11.0,MODERATE
70,12935,USW00014768,2020-05-10,7.61,41.0,11.0,MODERATE
71,12936,USW00014768,2020-05-11,8.05,41.0,10.0,MODERATE
72,12937,USW00014768,2020-05-12,10.51,39.0,10.0,MODERATE
73,12938,USW00014768,2020-05-13,4.47,34.0,10.0,MODERATE
74,12939,USW00014768,2020-05-14,4.25,49.0,9.0,MODERATE
75,12940,USW00014768,2020-05-15,10.29,63.0,8.0,SAFE
76,12941,USW00014768,2020-05-16,6.71,55.0,7.0,SAFE
